playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,AllStar,MVP,CyYoung,WorldSeriesMVP,GoldGlove
lancale01,0,41,28,323,39,3,1,22,2111.0,715,317,60,261,408,45.0,28.0,11.0,14,3032.0,110.0,345,,,4.054476551397442,0.0,0.0,0.0,0.0,0.0
landibi01,0,9,8,102,7,0,0,4,509.0,154,84,17,91,135,8.0,11.0,5.0,1,738.0,25.0,91,,,4.455795677799607,0.0,0.0,0.0,0.0,0.0
landrbi01,0,18,15,268,2,0,0,58,1084.0,360,136,18,124,218,27.0,11.0,2.0,5,1516.0,159.0,151,,,3.3874538745387452,0.0,0.0,0.0,0.0,0.0
langedi01,0,9,15,70,31,3,0,1,828.0,298,137,31,123,137,5.0,8.0,6.0,2,1242.0,11.0,167,,,4.467391304347826,0.0,0.0,0.0,0.0,0.0
langefr01,0,28,25,95,60,25,4,3,1495.0,455,164,9,219,318,,16.0,17.0,2,2072.0,28.0,235,,,2.9618729096989966,,,,,
langfri01,0,73,106,260,196,85,10,0,4473.0,1570,664,160,416,671,29.0,38.0,18.0,4,6328.0,24.0,745,,,4.00804828973843,0.0,0.0,0.0,0.0,0.0
langsma01,0,179,158,457,428,81,18,0,8888.0,2723,1306,311,1289,2464,34.0,89.0,46.0,22,12562.0,3.0,1438,,,3.967371737173717,4.0,0.0,0.0,0.0,7.0
laniema01,0,108,82,327,204,91,21,17,4858.0,1490,541,65,611,821,,13.0,18.0,8,6772.0,62.0,630,,,3.0067929188966653,2.0,0.0,,,
lannijo01,0,58,60,278,104,30,4,13,3213.0,1078,426,55,358,295,,17.0,6.0,1,4577.0,92.0,503,,,3.5798319327731094,0.0,0.0,,,
lapalpa01,0,24,45,253,51,10,2,14,1849.0,645,303,71,272,277,12.0,33.0,4.0,3,2724.0,94.0,353,,,4.424553812871823,0.0,0.0,,,
lapoida01,0,80,86,294,227,11,4,1,4460.0,1598,664,117,559,802,47.0,53.0,17.0,25,6471.0,17.0,748,,,4.019730941704036,0.0,0.0,0.0,0.0,0.0
larkite01,0,89,80,176,176,172,9,0,4702.0,1627,424,12,124,406,,84.0,,0,6659.0,0.0,922,,,2.4347086346235645,,,,,
larocda01,0,65,58,647,15,1,0,126,3148.0,919,411,94,459,819,81.0,18.0,29.0,7,4459.0,381.0,448,,,3.525095298602287,2.0,0.0,0.0,0.0,0.0
larsedo01,0,81,91,412,171,44,11,26,4644.0,1442,650,130,725,849,35.0,39.0,26.0,0,6708.0,132.0,728,,,3.7790697674418605,0.0,0.0,0.0,1.0,0.0
larsoda01,0,10,25,78,43,7,0,1,970.0,331,158,30,140,151,10.0,14.0,6.0,6,1414.0,10.0,189,,,4.397938144329897,0.0,0.0,0.0,0.0,0.0
laryfr01,0,128,116,350,292,126,21,11,6487.0,2123,838,197,616,1099,35.0,47.0,97.0,7,9107.0,30.0,960,,,3.4878988746724215,3.0,0.0,0.0,0.0,1.0
lashefr01,0,11,13,151,1,0,0,22,606.0,179,87,18,110,148,12.0,5.0,7.0,1,882.0,55.0,103,,,3.876237623762376,0.0,0.0,0.0,0.0,0.0
laskebi01,0,42,53,159,116,10,1,2,2236.0,784,343,76,210,325,14.0,10.0,13.0,8,3174.0,16.0,382,,,4.141771019677996,0.0,0.0,0.0,0.0,0.0
latmaba01,0,59,68,344,134,28,10,16,3657.0,1130,529,142,489,829,35.0,36.0,48.0,5,5220.0,77.0,605,,,3.9056603773584904,1.0,0.0,0.0,0.0,0.0
lavelga01,0,80,77,745,3,0,0,136,3255.0,1004,353,51,440,769,126.0,19.0,13.0,18,4604.0,399.0,413,,,2.928110599078341,2.0,0.0,0.0,0.0,0.0
lavenji01,0,63,76,224,142,65,10,12,3622.0,1097,414,38,447,547,,29.0,56.0,0,5058.0,50.0,547,,,3.086140254003313,,0.0,,,
lawrebr01,0,69,62,275,127,42,5,22,3122.0,1034,491,110,385,481,33.0,13.0,33.0,1,4448.0,75.0,539,,,4.246316463805253,1.0,0.0,,,
lawrebr02,0,50,63,168,152,7,3,0,2889.0,1023,448,101,268,597,34.0,13.0,46.0,2,4123.0,5.0,485,38.0,29.0,4.186915887850467,0.0,0.0,0.0,0.0,0.0
lawsoro01,0,47,39,208,83,34,2,11,2555.0,963,508,70,512,258,,20.0,7.0,3,3961.0,78.0,562,,,5.368297455968689,0.0,0.0,,,
lawve01,0,162,147,483,364,119,28,13,8016.0,2833,1118,268,597,1092,74.0,39.0,40.0,3,11231.0,77.0,1274,,,3.7657185628742513,2.0,0.0,1.0,0.0,0.0
laxtobi01,0,3,10,121,4,0,0,5,730.0,212,128,34,158,189,14.0,18.0,15.0,3,1091.0,44.0,144,,,4.734246575342466,0.0,0.0,0.0,0.0,0.0
layanti01,0,5,5,78,0,0,0,2,308.0,101,52,9,56,68,6.0,8.0,2.0,4,454.0,26.0,56,,,4.558441558441558,0.0,0.0,0.0,0.0,0.0
lazorja01,0,5,8,69,15,2,0,2,666.0,213,104,33,94,108,9.0,3.0,7.0,2,950.0,15.0,115,,,4.216216216216216,0.0,0.0,0.0,0.0,0.0
leach01,0,62,48,152,144,22,8,0,2770.0,864,363,79,341,535,19.0,36.0,12.0,8,3876.0,3.0,407,,,3.5382671480144405,1.0,0.0,0.0,0.0,0.0
leachte01,0,38,27,376,21,3,3,10,2100.0,688,245,38,197,331,48.0,3.0,13.0,3,2928.0,138.0,279,,,3.15,0.0,0.0,0.0,0.0,0.0
leallu01,0,51,58,165,151,27,3,1,2838.0,968,435,101,320,491,24.0,23.0,22.0,6,4057.0,6.0,476,,,4.138477801268499,0.0,0.0,0.0,0.0,0.0
learki01,0,7,12,57,19,12,1,1,670.0,224,75,10,64,66,,5.0,8.0,0,932.0,29.0,96,,,3.0223880597014925,,,,,
learyti01,0,78,105,292,224,25,9,1,4474.0,1570,723,147,535,888,45.0,87.0,52.0,13,6437.0,28.0,792,,,4.363209655789003,0.0,0.0,0.0,0.0,0.0
leclage01,0,7,12,55,19,12,2,2,708.0,222,88,4,61,91,,5.0,2.0,2,404.0,29.0,117,,,3.3559322033898304,,,,,
leebi02,0,169,157,462,378,182,29,13,8592.0,2953,1127,138,893,998,,54.0,24.0,5,12187.0,46.0,1304,,,3.5415502793296088,2.0,0.0,,,
leebi03,0,119,90,416,225,72,10,19,5833.0,2122,783,176,531,713,27.0,24.0,27.0,1,8271.0,70.0,885,,,3.624378535916338,1.0,0.0,0.0,0.0,0.0
leebo01,0,25,23,269,7,0,0,63,1478.0,402,148,31,196,315,35.0,12.0,5.0,2,2044.0,152.0,177,,,2.7036535859269284,1.0,0.0,0.0,0.0,0.0
leeda01,0,5,2,96,0,0,0,1,346.0,117,56,14,72,97,3.0,6.0,11.0,2,530.0,29.0,61,1.0,1.0,4.369942196531792,0.0,0.0,0.0,0.0,0.0
leedo01,0,40,44,244,97,13,4,11,2485.0,827,332,81,281,467,14.0,21.0,31.0,0,3553.0,58.0,387,,,3.6072434607645874,0.0,0.0,0.0,0.0,0.0
leema01,0,7,8,118,1,0,0,9,526.0,184,71,6,69,63,19.0,6.0,4.0,5,768.0,48.0,77,,,3.6444866920152093,0.0,0.0,0.0,0.0,0.0
leema03,0,5,5,116,0,0,0,2,382.0,129,54,16,54,84,10.0,0.0,2.0,0,545.0,21.0,58,,,3.816753926701571,0.0,0.0,0.0,0.0,0.0
leeth01,0,117,124,374,272,155,14,10,6994.0,2327,921,121,838,937,,24.0,43.0,7,9999.0,50.0,1105,,,3.5554761223906204,2.0,0.0,,,
leevesa01,0,194,100,388,299,241,39,13,7982.0,2449,731,29,587,847,,46.0,90.0,4,6428.0,75.0,1024,,,2.4726885492357806,,,,,
leewa01,0,30,37,76,66,51,4,0,1648.0,649,262,24,114,162,,4.0,29.0,1,815.0,10.0,360,,,4.29247572815534,,,,,
leffecr01,0,58,72,696,45,1,0,101,3437.0,1108,436,120,322,719,55.0,31.0,11.0,10,4754.0,286.0,490,,,3.4250800116380566,0.0,0.0,0.0,0.0,0.0
lehmake01,0,14,10,134,13,2,0,7,795.0,273,115,24,95,134,16.0,8.0,3.0,0,1136.0,59.0,125,,,3.9056603773584904,0.0,0.0,,0.0,
lehrju01,0,9,6,77,11,1,1,0,445.0,163,88,23,67,84,6.0,7.0,7.0,1,659.0,24.0,93,5.0,6.0,5.3393258426966295,0.0,0.0,0.0,0.0,0.0
leibrch01,0,140,119,394,346,52,18,2,6924.0,2390,952,172,656,1121,44.0,63.0,37.0,31,9774.0,17.0,1068,,,3.712305025996534,0.0,0.0,0.0,0.0,0.0
leifile01,0,124,97,296,217,138,33,7,5514.0,1673,505,27,554,616,,17.0,85.0,2,7411.0,56.0,693,,,2.4727965179542983,,0.0,,,
