playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name,Mitchell-Report,Positive-Test
rosenbj01,0,4,2,57,1,0,0,1,170,58,36,9,30,52,1,2,2,0,251,14,37,3,0,5.7176470588,B. J. Rosenberg,0,0
rosenst01,0,6,15,87,21,2,0,1,629,222,115,24,87,115,2,10,1,2,913,28,129,,,4.9364069952,Steve Rosenberg,0,0
rosentr01,0,6,16,233,0,0,0,96,711,196,70,11,94,303,8,12,12,1,995,138,73,7,4,2.6582278481,Trevor Rosenthal,0,0
rossbu01,0,7,12,64,10,1,1,1,571,233,106,12,74,31,,3,5,0,872,35,142,,,5.0122591944,Buster Ross,0,0
rossbu02,0,56,95,237,182,65,6,2,4096,1545,749,114,573,360,,37,7,2,6141,33,882,,,4.9372558594,Buck Ross,0,0
rosscza01,0,3,1,61,0,0,0,0,140,43,28,8,32,57,2,1,0,0,214,14,28,2,0,5.4,Zac Rosscup,0,0
rossga01,0,25,47,283,59,8,2,7,2141,764,311,48,288,378,53,26,24,2,3132,84,359,,,3.9219990659,Gary Ross,0,0
rossro01,0,13,10,204,12,0,0,6,799,280,117,23,92,209,9,10,17,1,1156,47,135,5,6,3.9536921151,Robbie Ross,0,0
rossty01,0,32,52,152,101,3,1,1,1996,605,264,42,270,628,13,42,29,1,2794,21,296,21,19,3.5711422846,Tyson Ross,0,0
rowanja01,0,31,40,119,74,44,5,3,2012,623,229,8,272,267,,12,15,1,2746,35,313,,,3.0730616302,Jack Rowan,0,0
rowesc01,0,158,101,382,278,137,22,12,6658,2332,955,132,558,913,,22,27,5,9398,74,1075,,,3.87278462,Schoolboy Rowe,0,0
rowlary01,0,12,17,121,47,0,0,2,1110,388,188,51,138,229,4,12,15,2,1618,20,210,9,20,4.572972973,Ryan Rowland-Smith,0,0
roylu01,0,6,12,56,18,3,0,0,512,231,136,15,92,36,,6,4,0,827,20,157,,,7.171875,Luther Roy,0,0
rozemda01,0,60,53,248,132,36,7,17,3318,1125,426,113,258,448,42,23,29,6,4600,61,490,,,3.4665461121,Dave Rozema,0,0
ruckeda01,0,16,20,206,10,1,0,1,959,337,141,19,147,170,15,8,8,0,1406,61,164,,,3.9697601668,Dave Rucker,0,0
ruckena01,0,134,134,336,272,186,38,14,7126,2089,639,41,701,1217,,43,73,2,9625,60,817,,,2.4211338759,Nap Rucker,0,0
rudoldi01,0,121,108,279,241,172,27,8,6147,1971,605,35,402,786,,39,27,3,8290,36,778,,,2.6573938507,Dick Rudolph,0,0
rudoldo01,0,18,32,124,57,10,2,3,1351,485,200,54,102,182,13,3,9,2,1903,34,227,,,3.9970392302,Don Rudolph,0,0
ruebema01,0,4,5,77,8,0,0,1,390,152,80,18,56,78,3,6,11,0,600,13,95,,,5.5384615385,Matt Ruebel,0,0
rueteki01,0,130,92,340,336,4,1,0,5754,2092,911,220,582,818,41,24,25,0,8210,1,1004,57,35,4.2747653806,Kirk Rueter,0,0
ruethdu01,0,137,95,309,272,155,18,8,6374,2244,826,54,739,708,,26,66,2,9157,30,987,,,3.4989017885,Dutch Ruether,0,0
ruffibr01,0,60,82,469,152,17,3,63,3804,1345,591,92,565,843,50,61,10,3,5569,160,677,,,4.1947949527,Bruce Ruffin,0,0
ruffijo01,0,10,6,139,0,0,0,3,588,187,90,25,93,163,11,18,4,1,853,40,100,0,0,4.1326530612,Johnny Ruffin,0,0
ruffire01,0,273,225,624,536,335,45,16,13032,4284,1833,254,1541,1987,,46,58,7,18579,71,2117,,,3.7976519337,Red Ruffing,0,0
ruhleve01,0,67,88,327,188,29,12,11,4234,1483,585,119,348,582,37,15,35,5,5964,45,675,,,3.7305148795,Vern Ruhle,0,0
runyase01,0,1,5,103,0,0,0,1,192,58,26,9,33,46,4,7,3,0,280,13,29,0,1,3.65625,Sean Runyan,0,0
runzlda01,0,4,2,89,1,0,0,0,217,65,31,2,44,78,5,4,3,0,317,16,34,4,2,3.8571428571,Dan Runzler,0,0
rupejo01,0,5,3,90,1,0,0,0,470,175,88,18,77,90,3,8,15,0,703,22,90,5,7,5.0553191489,Josh Rupe,0,0
rupery01,0,24,38,89,84,2,0,0,1430,514,310,81,162,355,5,21,42,2,2101,0,336,8,15,5.8531468531,Ryan Rupe,0,0
ruschgl01,0,67,99,342,220,11,3,4,4432,1732,827,191,460,1088,27,19,40,5,6513,31,880,74,36,5.038131769,Glendon Rusch,0,0
rushbo01,0,127,152,417,321,118,16,8,7232,2327,977,177,789,1244,31,50,34,1,10219,44,1128,,,3.6475387168,Bob Rush,0,0
rusieam01,0,245,174,462,427,392,30,5,11309,3384,1287,76,1704,1934,,153,29,1,1060,35,2066,,,3.0726854717,Amos Rusie,0,0
ruskisc01,0,11,9,192,0,0,0,8,581,191,85,15,90,146,12,9,6,1,853,55,92,,,3.9500860585,Scott Ruskin,0,0
russead01,0,8,3,85,0,0,0,0,260,88,38,3,46,67,2,5,5,0,389,34,42,6,2,3.9461538462,Adam Russell,0,0
russeal01,0,71,76,345,110,54,5,42,4183,1382,545,59,610,603,,28,44,0,5940,153,692,,,3.5178101841,Allen Russell,0,0
russeja01,0,85,141,557,182,71,3,38,6152,2454,1017,83,571,418,,22,29,5,9020,209,1187,,,4.463426528,Jack Russell,0,0
russeja02,0,10,18,387,6,0,0,4,991,331,143,41,95,239,22,6,9,1,1403,70,167,18,16,3.8960645812,James Russell,0,0
russeje01,0,56,73,589,79,11,2,186,3299,1065,458,100,415,693,43,46,28,12,4694,340,525,,,3.7484086087,Jeff Russell,0,0
russere01,0,81,59,242,148,81,24,13,3875,1128,335,7,267,495,,19,19,4,5031,57,453,,,2.3341935484,Reb Russell,0,0
russoma01,0,45,34,120,84,48,6,5,2042,618,237,41,253,311,,6,6,0,2838,19,278,,,3.1336924584,Marius Russo,0,0
ruthba01,0,94,46,163,148,107,17,4,3664,974,309,10,441,488,,25,29,4,5006,11,398,,,2.2770196507,Babe Ruth,0,0
ruthvdi01,0,123,127,355,332,61,17,1,6327,2155,970,165,767,1145,72,53,38,22,9047,12,1075,,,4.1394025605,Dick Ruthven,0,0
ryanbj01,0,21,28,560,0,0,0,117,1610,424,201,42,264,625,27,21,17,2,2273,249,216,14,12,3.3708074534,B. J. Ryan,0,0
ryanke01,0,14,16,240,1,0,0,30,857,266,124,21,164,225,26,15,9,3,1265,125,140,,,3.9066511085,Ken Ryan,0,0
ryanno01,0,324,292,807,773,222,61,3,16158,3923,1911,321,2795,5714,78,277,158,33,22575,13,2178,,,3.1932788711,Nolan Ryan,0,0
ryanro01,0,52,47,248,73,29,1,19,2643,941,405,33,278,315,,22,11,2,3788,102,486,,,4.1373439274,Rosy Ryan,0,0
rybami01,0,52,34,240,36,16,2,16,2351,817,319,47,247,307,,14,7,5,3352,132,381,,,3.6635474266,Mike Ryba,0,0
ryuhy01,0,28,15,56,56,2,1,0,1032,334,121,23,78,293,6,7,4,0,1414,0,127,13,5,3.1656976744,Hyun-jin Ryu,0,0
rzepcma01,0,11,24,349,23,0,0,1,1036,328,152,31,146,327,14,21,20,2,1483,46,174,9,8,3.9613899614,Marc Rzepczynski,0,0
saarlki01,0,29,30,165,73,3,2,2,1527,592,284,60,186,251,21,6,28,0,2251,27,301,16,14,5.021611002,Kirk Saarloos,0,0
sabatcc01,0,214,129,452,452,38,12,0,8966,2831,1225,293,894,2574,42,64,95,16,12465,0,1340,85,87,3.6889359804,CC Sabathia,0,0
sabeler01,0,3,2,50,0,0,0,0,183,71,34,10,18,31,5,2,5,0,268,12,35,1,0,5.0163934426,Erik Sabel,0,0
saberbr01,0,167,117,399,371,76,16,1,7688,2452,952,218,471,1715,34,53,59,12,10421,13,1036,0,0,3.3433922997,Bret Saberhagen,0,0
sadecra01,0,135,131,563,328,85,20,7,7502,2456,1051,240,922,1614,82,94,41,6,10694,75,1206,,,3.782591309,Ray Sadecki,0,0
sadowbo02,0,20,27,115,54,13,1,8,1319,416,189,41,130,257,17,9,16,1,1838,14,209,,,3.8688400303,Bob Sadowski,0,0
