playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name
dierkla01,0,139,123,356,329,106,25,1,7001,2130,857,184,711,1493,43.0,104.0,50.0,10,9661.0,10.0,948,,,3.3050992714999996,Larry Dierker
dietrbi01,0,108,128,366,253,92,17,11,6011,2117,997,128,890,660,,44.0,22.0,4,8874.0,72.0,1146,,,4.478289802,Bill Dietrich
dietzdu01,0,14,16,106,21,7,1,6,885,303,127,18,113,79,,6.0,4.0,1,1278.0,46.0,141,,,3.8745762712,Dutch Dietz
difelma01,0,5,1,77,0,0,0,0,221,69,31,11,21,71,6.0,2.0,1.0,0,311.0,15.0,32,3.0,0.0,3.7873303167000003,Mark DiFelice
dilauja01,0,2,7,65,4,0,0,4,292,84,33,8,35,50,7.0,3.0,0.0,1,408.0,24.0,42,,,3.051369863,Jack DiLauro
dillati01,0,1,4,73,0,0,0,0,253,95,44,9,29,62,5.0,3.0,3.0,0,371.0,31.0,52,4.0,3.0,4.6956521739,Tim Dillard
dillmbi01,0,7,12,50,15,2,1,3,464,143,78,17,51,86,6.0,10.0,4.0,1,637.0,16.0,79,,,4.5387931034,Bill Dillman
dinarle01,0,10,18,94,34,0,0,0,771,316,153,26,115,132,7.0,7.0,9.0,0,1168.0,26.0,180,10.0,11.0,5.3579766537,Lenny DiNardo
dingmcr01,0,4,5,75,0,0,0,5,239,92,54,13,37,50,5.0,1.0,7.0,0,357.0,31.0,55,4.0,2.0,6.10041841,Craig Dingman
dinnebi01,0,170,177,391,352,306,23,7,9224,2957,1029,78,829,1127,,68.0,77.0,5,7197.0,35.0,1411,,,3.0120338248,Bill Dinneen
dipinfr01,0,35,38,514,6,0,0,56,2100,673,298,53,269,515,57.0,28.0,10.0,4,2981.0,216.0,332,,,3.8314285714,Frank DiPino
dipotje01,0,27,24,390,0,0,0,49,1486,527,223,33,221,352,37.0,23.0,19.0,5,2175.0,183.0,257,1.0,2.0,4.0518169583,Jerry Dipoto
ditmaar01,0,72,77,287,156,41,5,14,3804,1237,561,138,461,552,19.0,23.0,37.0,3,5401.0,61.0,649,,,3.9818611987,Art Ditmar
dixonke01,0,26,28,105,68,5,1,6,1447,480,250,85,178,377,17.0,19.0,4.0,6,2083.0,21.0,266,,,4.6648237733,Ken Dixon
dixonso01,0,11,18,102,12,4,0,9,789,296,122,25,75,90,1.0,2.0,5.0,1,1146.0,52.0,141,,,4.1749049430000005,Sonny Dixon
dixonto01,0,9,14,62,24,4,2,1,599,225,96,11,63,94,4.0,2.0,3.0,3,876.0,13.0,109,,,4.32721202,Tom Dixon
doakbi01,0,169,157,453,368,162,34,16,8348,2676,920,71,851,1014,,38.0,65.0,4,11582.0,63.0,1184,,,2.9755630091,Bill Doak
doberje01,0,7,3,76,0,0,0,1,337,107,65,17,66,55,,2.0,2.0,0,512.0,36.0,70,,,5.2077151335,Jess Dobernic
dobsoch01,0,74,69,202,190,49,11,0,3775,1174,528,125,476,758,33.0,56.0,18.0,2,5312.0,7.0,581,,,3.7764238411,Chuck Dobson
dobsojo01,0,137,103,414,273,112,22,18,6510,2048,874,137,851,992,,55.0,10.0,10,9159.0,84.0,981,,,3.6248847926,Joe Dobson
dobsopa01,0,122,129,414,279,74,14,19,6361,2043,833,197,665,1301,76.0,51.0,26.0,5,8872.0,51.0,939,,,3.5357648169,Pat Dobson
dohened01,0,75,83,183,168,140,6,2,4178,1412,580,13,665,567,,87.0,132.0,4,939.0,15.0,931,,,3.7482048826999996,Ed Doheny
doherjo02,0,32,31,148,61,5,2,9,1564,613,282,47,140,177,28.0,13.0,19.0,1,2258.0,30.0,316,,,4.868286445,John Doherty
dohmasc01,0,9,8,164,0,0,0,1,518,180,102,28,96,166,10.0,8.0,4.0,0,774.0,55.0,105,8.0,7.0,5.3166023166,Scott Dohmann
donahre01,0,164,175,367,340,312,25,3,8899,3376,1191,61,689,787,,27.0,101.0,1,4871.0,23.0,1638,,,3.6135520844999998,Red Donahue
donalat01,0,65,33,153,115,54,6,1,2797,907,365,66,369,369,,21.0,8.0,4,4009.0,28.0,433,,,3.5234179477999996,Atley Donald
donnebl01,0,27,36,190,75,27,7,12,2075,659,268,52,306,296,,11.0,16.0,1,2934.0,62.0,321,,,3.4872289157,Blix Donnelly
donnebr01,0,32,10,386,0,0,0,6,1156,326,138,35,154,369,12.0,15.0,19.0,2,1632.0,97.0,153,17.0,12.0,3.223183391,Brendan Donnelly
donohji01,0,6,8,70,9,0,0,7,466,152,74,24,82,116,6.0,5.0,2.0,0,686.0,27.0,80,,,4.2875536481,Jim Donohue
donohpe01,0,134,118,344,270,137,16,12,6337,2439,909,68,422,571,,10.0,46.0,4,9055.0,56.0,1082,,,3.8729682815,Pete Donohue
donovbi01,0,186,139,378,327,289,35,8,8894,2631,886,30,1059,1552,,69.0,91.0,0,12477.0,49.0,1212,,,2.6896784349000002,Bill Donovan
donovdi01,0,122,99,345,273,101,25,5,6052,1988,822,198,495,880,49.0,18.0,45.0,6,8407.0,28.0,909,,,3.6672174488,Dick Donovan
doolise01,0,10,10,187,0,0,0,29,578,143,65,13,37,224,3.0,2.0,2.0,0,750.0,65.0,67,7.0,4.0,3.0363321799,Sean Doolittle
dopsojo01,0,30,47,144,119,4,1,1,2176,752,344,74,264,386,20.0,20.0,10.0,23,3125.0,8.0,391,,,4.2683823529,John Dopson
dorisha01,0,45,43,323,40,13,2,44,2503,850,355,57,301,332,4.0,26.0,19.0,5,3578.0,166.0,406,,,3.8294047143000003,Fritz Dorish
dornegu01,0,36,69,131,106,76,8,1,2731,842,341,18,330,275,,14.0,51.0,0,3763.0,20.0,472,,,3.3712925668000002,Gus Dorner
doteloc01,0,59,50,758,34,0,0,109,2853,765,399,117,412,1143,39.0,46.0,41.0,4,4024.0,305.0,431,33.0,31.0,3.7760252366000002,Octavio Dotel
dotsori01,0,111,113,305,295,55,11,0,5572,1884,872,194,740,973,24.0,46.0,40.0,12,8034.0,7.0,964,,,4.2254127782,Richard Dotson
doubrfe01,0,31,26,118,85,0,0,4,1541,540,279,63,219,442,1.0,24.0,14.0,1,2266.0,10.0,306,12.0,25.0,4.8883841661,Felix Doubront
doughji01,0,8,8,79,0,0,0,0,284,110,63,11,46,59,2.0,1.0,5.0,0,429.0,17.0,65,,,5.9894366197,Jim Dougherty
douglph01,0,94,93,299,200,95,20,8,5125,1626,532,52,411,683,,35.0,35.0,2,7018.0,69.0,730,,,2.8027317073,Phil Douglas
douglse01,0,7,13,54,31,0,0,0,623,222,141,34,113,155,8.0,8.0,8.0,1,936.0,7.0,149,3.0,9.0,6.1107544141,Sean Douglass
dowlipe01,0,39,65,117,102,92,2,1,2722,984,390,13,339,299,,18.0,66.0,4,0.0,12.0,574,,,3.8684790595,Pete Dowling
downial01,0,123,107,405,317,73,24,3,6805,1946,811,177,933,1639,32.0,77.0,31.0,11,9539.0,37.0,938,,,3.2177810433999996,Al Downing
downsda02,0,4,4,92,0,0,0,0,272,82,48,7,39,84,6.0,5.0,6.0,2,385.0,20.0,50,2.0,2.0,4.7647058824,Darin Downs
downske01,0,57,53,237,135,11,6,1,2891,912,413,73,373,598,54.0,42.0,25.0,17,4122.0,29.0,454,,,3.8571428571,Kelly Downs
downssc01,0,38,40,619,50,1,1,27,2254,729,297,67,279,575,34.0,26.0,28.0,2,3213.0,113.0,333,20.0,16.0,3.557675244,Scott Downs
doyleca01,0,6,15,51,21,6,1,2,668,277,172,18,155,101,,16.0,17.0,2,1099.0,16.0,195,,,6.9520958084,Carl Doyle
doyleje01,0,4,7,55,3,0,0,9,408,183,94,6,57,38,,0.0,5.0,0,628.0,37.0,100,,,6.2205882353,Jess Doyle
doylepa01,0,5,3,87,0,0,0,11,271,85,38,11,46,65,7.0,5.0,1.0,3,382.0,40.0,39,,,3.7859778598,Paul Doyle
doylesl01,0,22,21,75,50,29,7,1,1309,383,138,7,147,209,,10.0,12.0,0,1599.0,21.0,206,,,2.84644767,Slow Joe Doyle
drabedo01,0,155,134,398,387,53,21,0,7605,2448,1052,246,704,1594,56.0,80.0,53.0,6,10518.0,4.0,1141,,,3.7349112426,Doug Drabek
drabomo01,0,88,105,589,154,33,6,55,4923,1441,676,182,702,1162,62.0,53.0,63.0,5,7005.0,220.0,758,,,3.7074954296,Moe Drabowsky
dragodi01,0,108,117,519,189,62,10,58,5625,1901,755,157,558,987,75.0,34.0,54.0,3,7899.0,216.0,827,,,3.6239999999999997,Dick Drago
draveda01,0,64,57,226,146,28,9,10,3188,968,370,97,315,558,26.0,10.0,16.0,10,4368.0,37.0,421,,,3.1336260979,Dave Dravecky
dreifda01,0,48,60,274,113,3,3,11,2618,826,423,90,389,802,16.0,59.0,40.0,10,3790.0,44.0,465,23.0,4.0,4.3624904507,Darren Dreifort
dresery01,0,34,39,105,96,4,0,0,1697,673,334,49,213,301,12.0,20.0,31.0,0,2528.0,3.0,363,16.0,19.0,5.3140836771,Ryan Drese
dressro01,0,11,23,82,48,6,0,0,1171,449,181,33,98,129,17.0,4.0,5.0,1,1678.0,18.0,210,,,4.1733561059,Rob Dressler
drewska01,0,44,53,218,107,26,7,7,2480,913,437,72,332,322,,17.0,35.0,3,3652.0,44.0,493,,,4.7576612903,Karl Drews
